id,neighborhood,property_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,rating,superhost,response_time,minimum_nights,maximum_nights,latitude,longitude
837148,Capitol Hill,Apartment,5,1.0,1,145,200,60,97.0,1,within an hour,2,90,38.8894,-76.98866
839320,Spring Valley,House,2,1.0,1,100,500,100,100.0,0,within a day,7,180,38.92923,-77.10219000000002
841234,Edgewood,Condominium,1,1.0,1,35,0,15,88.0,0,within an hour,28,365,38.91908,-77.01404000000002
841260,Brightwood Park,Apartment,1,2.0,1,39,0,15,87.0,0,within an hour,5,360,38.93707,-77.02365999999998
845033,Union Station,Apartment,4,1.0,1,139,350,150,99.0,1,within a few hours,3,30,38.89391,-76.99773
851048,Dupont Circle,Townhouse,6,2.5,3,575,500,125,96.0,1,within an hour,1,7,38.91158,-77.05046
852913,Columbia Heights,Apartment,5,1.0,2,400,0,70,91.0,0,within an hour,1,30,38.92049,-77.03358
854191,Kalorama Heights,Townhouse,4,1.5,2,185,300,125,96.0,1,within an hour,1,31,38.91258,-77.04855
860336,Dupont Circle,Guest suite,4,1.0,1,99,300,55,95.0,0,within an hour,1,89,38.91009,-77.04714
860776,Edgewood,Condominium,1,3.0,1,28,0,15,90.0,0,within an hour,4,365,38.91912,-77.01369
861775,Douglas,House,2,1.0,1,65,0,50,96.0,1,within a few hours,1,1125,38.84873,-76.97870999999998
864912,Columbia Heights,House,1,1.0,1,89,0,0,92.0,0,within a day,1,370,38.92983,-77.02263
865732,Capitol Hill,House,6,,3,2000,1000,0,,0,,4,4,38.89149000000001,-76.98959
867019,Howard University,Townhouse,3,1.5,1,90,1000,0,100.0,0,,180,365,38.91818,-77.01883000000002
867117,Union Station,Townhouse,4,2.5,2,225,0,80,96.0,0,within a day,3,21,38.89591,-76.99803
870948,Dupont Circle,Apartment,2,1.0,1,105,0,0,98.0,0,,1,1125,38.91763,-77.0394
873182,Lamont Riggs,Apartment,3,1.0,1,85,2500,100,94.0,0,within an hour,2,90,38.9535,-76.9945
873590,Southwest Employment Area,House,2,1.0,1,92,0,0,93.0,0,,2,1125,38.87491,-77.0155
873603,Columbia Heights,Apartment,2,1.0,1,81,250,90,85.0,0,,4,15,38.92352,-77.03520999999998
874890,Edgewood,House,6,1.5,3,190,200,75,98.0,0,within a day,7,1125,38.92954,-76.99874
875697,Columbia Heights,Apartment,2,1.0,1,80,0,0,91.0,0,,2,30,38.92782,-77.03985
882720,Columbia Heights,Apartment,2,1.0,1,107,100,35,94.0,0,,2,10,38.9244,-77.03475
883653,Columbia Heights,Townhouse,6,2.5,3,300,500,125,98.0,0,,3,8,38.93516,-77.04503000000003
885473,Union Station,Apartment,5,1.0,1,120,0,50,94.0,0,within a day,1,7,38.8933,-76.99714
886283,Friendship Heights,Apartment,2,1.0,1,100,0,0,93.0,1,within a day,5,1125,38.94663,-77.09255
887461,Brightwood Park,Apartment,1,2.0,1,39,0,20,86.0,0,within an hour,28,365,38.9384,-77.02363000000003
888029,Brightwood Park,Apartment,1,2.0,1,35,0,15,88.0,0,within an hour,28,365,38.93656,-77.02377
891852,Columbia Heights,Condominium,5,1.0,1,135,250,85,90.0,1,within a few hours,2,365,38.93689000000001,-77.02062
892183,Shaw,House,10,2.5,4,500,500,120,92.0,0,within a few hours,2,365,38.90698,-77.02699
893529,Edgewood,House,1,1.0,1,275,1000,100,,0,,1,200,38.91427,-77.01162
898543,West End,Townhouse,6,2.0,3,310,150,150,98.0,1,within a day,2,1125,38.89961,-77.05293
898544,West End,Townhouse,6,2.0,2,265,150,150,98.0,1,within a day,2,1125,38.89879000000001,-77.05287
900225,Brookland,House,5,1.5,2,125,0,100,93.0,1,within an hour,4,160,38.93239000000001,-76.98784
902573,Shaw,House,2,1.0,1,72,200,40,95.0,1,within a few hours,5,1125,38.91066,-77.02190999999998
914968,Ivy City,House,2,1.0,1,85,0,0,98.0,1,within an hour,3,6,38.9043,-76.98946
925318,Brightwood Park,House,2,1.0,1,82,0,25,94.0,1,within an hour,1,365,38.94265,-77.03353
925460,Brightwood Park,House,2,3.0,1,65,0,0,93.0,1,within an hour,1,1125,38.9434,-77.03368
945426,Friendship Heights,House,2,1.5,1,92,0,0,99.0,1,within an hour,2,21,38.96054,-77.08333
953928,Takoma,Guest suite,1,1.0,1,50,0,0,100.0,0,within a few hours,14,187,38.9654,-77.02843
954211,Columbia Heights,Apartment,6,2.5,2,200,600,100,95.0,0,,2,27,38.92633,-77.035
956313,Columbia Heights,Guest suite,2,1.0,1,99,500,70,99.0,1,within a day,7,365,38.93555,-77.02736999999998
957734,Shaw,Apartment,2,1.0,1,129,250,0,99.0,1,within an hour,3,120,38.90879,-77.03345
958370,Union Station,House,2,1.0,1,90,0,38,93.0,0,,3,300,38.8976,-76.99691999999997
996138,Union Station,Townhouse,6,2.5,3,225,250,125,97.0,1,within a few hours,2,10,38.89271,-76.99412
997859,Dupont Circle,House,6,2.0,3,350,0,250,96.0,1,within an hour,3,1124,38.91315,-77.04173
1003792,Union Station,House,9,4.0,4,500,500,120,89.0,0,within a few hours,2,120,38.89424,-76.98891
1018211,Brightwood Park,Apartment,1,1.0,1,30,250,150,96.0,1,,28,240,38.94755,-77.03105
1020841,Takoma,Townhouse,2,1.0,1,25,0,20,97.0,0,,1,4,38.9654,-77.02368
1026034,Shaw,Apartment,4,1.0,0,120,100,40,99.0,1,within an hour,2,365,38.90902,-77.03318
1035762,Capitol Hill,House,2,1.0,1,70,0,60,92.0,0,,4,1125,38.8805,-76.98606
1048410,Brightwood Park,Guest suite,2,1.0,1,100,99,55,95.0,0,,3,10,38.95098,-77.02859000000002
1050419,Dupont Circle,Condominium,6,2.0,2,139,1000,50,99.0,1,within an hour,1,27,38.90791,-77.03514
1062050,Southwest Employment Area,Condominium,2,1.0,0,105,300,60,96.0,0,within a few hours,3,365,38.87602,-77.02025
1078858,Howard University,House,4,2.5,2,150,200,80,88.0,0,,2,14,38.91517,-77.01648
1083336,Brightwood Park,Townhouse,11,3.0,3,240,0,125,97.0,1,within a few hours,1,365,38.94995,-77.02011
1086168,Shaw,Apartment,6,2.0,2,345,0,80,97.0,0,,3,1125,38.90958,-77.03147
1092713,Dupont Circle,Apartment,6,1.0,1,199,400,60,91.0,0,within an hour,1,89,38.90959,-77.04706
1094377,Columbia Heights,House,4,1.5,4,200,4300,0,,0,,300,360,38.92963,-77.04086
1098825,Capitol Hill,Apartment,2,1.0,1,125,0,70,100.0,0,,20,90,38.88854,-76.98575
1106738,Kalorama Heights,Apartment,2,2.0,2,120,0,0,,0,,180,180,38.92275,-77.04160999999998
1112617,Kalorama Heights,Apartment,2,1.0,1,79,0,40,96.0,0,within a day,30,1125,38.91669,-77.04373000000002
1114525,Dupont Circle,Apartment,4,2.0,2,131,200,115,96.0,0,,2,60,38.9104,-77.03463
1126839,Howard University,House,2,2.0,1,95,200,60,99.0,1,within a day,4,15,38.91588,-77.02539
1135268,Shaw,Apartment,2,1.0,1,125,0,0,98.0,0,within a few hours,2,100,38.91118,-77.02282
1138235,Georgetown,Townhouse,5,1.5,3,299,400,100,94.0,0,,2,1125,38.90286,-77.06302
1143329,Brightwood Park,Apartment,4,1.0,1,99,300,20,87.0,0,,7,30,38.93959,-77.03818000000003
1159439,Edgewood,Apartment,4,1.0,1,95,100,40,98.0,1,within a day,1,13,38.91445,-77.00144
1159884,Edgewood,House,6,2.5,3,225,0,75,100.0,1,within an hour,2,45,38.91832,-77.00067
